127.0.0.1 - - [20/Apr/2024:17:44:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:52 +0900] "GET /packs/ HTTP/1.1" 200 667
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:55 +0900] "POST /packs/submit HTTP/1.1" 200 729
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Fighter.webp HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B0%80%EB%A0%8C.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "POST /packs/simul/home HTTP/1.1" 200 98841
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Tank.webp HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B0%88%EB%A6%AC%EC%98%A4.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B7%B8%EB%9D%BC%EA%B0%80%EC%8A%A4.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Mage.webp HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B0%B1%ED%94%8C%EB%9E%AD%ED%81%AC.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B7%B8%EB%A0%88%EC%9D%B4%EB%B8%8C%EC%A6%88.jpg HTTP/1.1" 404 900
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EA%B7%B8%EC%9B%AC.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Marksman.webp HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Assassin.webp HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%82%98%EB%AF%B8.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/main/Support.webp HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%82%98%EB%A5%B4.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%82%98%ED%94%BC%EB%A6%AC.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%82%98%EC%84%9C%EC%8A%A4.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%85%B8%ED%8B%B8%EB%9F%AC%EC%8A%A4.jpg HTTP/1.1" 404 891
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%88%84%EB%88%84%EC%99%80%20%EC%9C%8C%EB%9F%BC%ED%94%84.jpg HTTP/1.1" 404 912
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%8B%88%EB%8B%AC%EB%A6%AC.jpg HTTP/1.1" 404 882
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%85%B9%ED%84%B4.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%8B%88%EC%BD%94.jpg HTTP/1.1" 404 873
0:0:0:0:0:0:0:1 - - [20/Apr/2024:17:46:59 +0900] "GET /resources/img/14.8.1/splash/%EB%8B%90%EB%9D%BC.jpg HTTP/1.1" 404 873
