127.0.0.1 - - [10/May/2024:02:38:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:17 +0900] "GET /packs/ HTTP/1.1" 200 2666
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:17 +0900] "GET /packs/resources/img/main/back1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:22 +0900] "POST /packs/submit HTTP/1.1" 200 2802
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%80%EB%A0%8C.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%88%EB%A6%AC%EC%98%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B0%B1%ED%94%8C%EB%9E%AD%ED%81%AC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/main/Fighter.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/main/Tank.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "POST /packs/simul/home HTTP/1.1" 200 107393
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%8B%90%EB%9D%BC.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%82%98%EB%A5%B4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EA%B7%B8%EB%9D%BC%EA%B0%80%EC%8A%A4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2024:02:38:24 +0900] "GET /packs/resources/img/14.8.1/splash/%EB%8B%88%EC%BD%94.jpg HTTP/1.1" 304 -
